Bin,Bin Name,Category,Sub-category,Supplies,,,,,,,,,,,,,,,,,
Camping 1,Propane,Camping,Kitchen,Propane,,,,,,,,,,,,,,,,,
Camping 1,Propane,Camping,Fire,camp shovel,,,,,,,,,,,,,,,,,
Camping 1,Propane,Camping,Fire,lighter Fluid,,,,,,,,,,,,,,,,,
Camping 1,Propane,Camping,Misc,lanterns,,,,,,,,,,,,,,,,,
Camping 10,Plates,Camping,Paper Goods,Large plates,,,,,,,,,,,,,,,,,
Camping 11,Big Items,Camping,Dining,Collapsible Water Jugs,,,,,,,,,,,,,,,,,
Camping 11,Big Items,Camping,Kitchen,Big Stock Pots,,,,,,,,,,,,,,,,,
Camping 12,Big Items,Camping,Kitchen,Big Stock Pots,,,,,,,,,,,,,,,,,
Camping 2,Paper Goods,Camping,Paper Goods,Plates - Dinner,,,,,,,,,,,,,,,,,
Camping 2,Paper Goods,Camping,Paper Goods,Plates - Breakfast,,,,,,,,,,,,,,,,,
Camping 2,Paper Goods,Camping,Paper Goods,Paper Towels,,,,,,,,,,,,,,,,,
Camping 2,Paper Goods,Camping,Paper Goods,Hot Cups,,,,,,,,,,,,,,,,,
Camping 2,Paper Goods,Camping,Paper Goods,Cold Cups,,,,,,,,,,,,,,,,,
Camping 2,Paper Goods,Camping,Paper Goods,mini cups,,,,,,,,,,,,,,,,,
Camping 2,Paper Goods,Camping,Paper Goods,gloves,,,,,,,,,,,,,,,,,
Camping 2,Paper Goods,Camping,Paper Goods,Napkins,,,,,,,,,,,,,,,,,
Camping 3,Paper Goods,Camping,Paper Goods,Gallon Ziplocs,,,,,,,,,,,,,,,,,
Camping 3,Paper Goods,Camping,Paper Goods,Aluminum foil,,,,,,,,,,,,,,,,,
Camping 3,Paper Goods,Camping,Paper Goods,Mixed Cutlery box,,,,,,,,,,,,,,,,,
Camping 3,Paper Goods,Camping,Paper Goods,Mixed Cutlery box,,,,,,,,,,,,,,,,,
Camping 3,Paper Goods,Camping,Paper Goods,spoons,,,,,,,,,,,,,,,,,
Camping 3,Paper Goods,Camping,Paper Goods,Forks,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Cutting Board,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Fire Gloves,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Pitcher,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Oven Mits,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Small Pots,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Mixing bowls - Large,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Mixing bowls - Med,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Measuring Cup,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Skillets - Large,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Ladle,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Slotted Serving Spoons,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Solid Serving Spoons,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Teflon Turners,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Spatulas - Metal,,,,,,,,,,,,,,,,,
Camping 4,Cooking,,,2 grill tongs,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Cooking Tongs,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Serving Tongs,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Can openers,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Chef Knives,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,steak knives,,,,,,,,,,,,,,,,,
Camping 4,Cooking,Camping,Kitchen,Serving Sporks,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Pancake Syrub,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Hot Cocoa,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Lemonade,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Tang,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Pancake Mix,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Canola Cooking Spray,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Via,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Tea,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,sugar,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Splenda,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Canola Oil,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Relish,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Ketchup,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Salt & Pepper,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Sm. Alluminum Trays,,,,,,,,,,,,,,,,,
Camping 5,Food,Camping,Food,Mini Marshmallows,,,,,,,,,,,,,,,,,
Camping 6,Smores,Camping,Misc,First Aid Kit,,,,,,,,,,,,,,,,,
Camping 6,Smores,Camping,Smores,Metal Skewers,,,,,,,,,,,,,,,,,
Camping 6,Smores,Camping,Food,Chocolate Bars,,,,,,,,,,,,,,,,,
Camping 6,Smores,Camping,Food,Jumbo Marshmallows,,,,,,,,,,,,,,,,,
Camping 7,Kitchen,Camping,Paper Goods,Lg. Alluminum Trays,,,,,,,,,,,,,,,,,
Camping 7,Kitchen,Camping,Dining,Trashbags,,,,,,,,,,,,,,,,,
Camping 7,Kitchen,Camping,Dining,Collapsible Trash Cans,,,,,,,,,,,,,,,,,
Camping 7,Kitchen,Camping,Paper Goods,Sm. Alluminum Trays,,,,,,,,,,,,,,,,,
Camping 8,Cleaning,Camping,Hand wash station,Hand Wash Container,,,,,,,,,,,,,,,,,
Camping 8,Cleaning,,,Dish Towels,,,,,,,,,,,,,,,,,
Camping 8,Cleaning,Camping,,Hand Sanitizer,,,,,,,,,,,,,,,,,
Camping 8,Cleaning,Camping,,Bleach Tablets,,,,,,,,,,,,,,,,,
Camping 8,Cleaning,Camping,,lysol wipes,,,,,,,,,,,,,,,,,
Camping 8,Cleaning,Camping,,sponges,,,,,,,,,,,,,,,,,
Camping 8,Cleaning,Camping,,Dish Soap,,,,,,,,,,,,,,,,,
Camping 8,Cleaning,Camping,,Handwash bin,,,,,,,,,,,,,,,,,
Camping 9,Camp Fire & set-up,Camping,,Fire Starter,,,,,,,,,,,,,,,,,
Camping 9,Camp Fire & set-up,Camping,,First Aid Kit,,,,,,,,,,,,,,,,,
Camping 9,Camp Fire & set-up,Camping,,Lighters,,,,,,,,,,,,,,,,,
Camping 9,Camp Fire & set-up,Camping,Letter Boxing,Plastic Containers,,,,,,,,,,,,,,,,,
Camping 9,Camp Fire & set-up,Camping,Misc,Rope,,,,,,,,,,,,,,,,,
Camping 9,Camp Fire & set-up,Camping,Kitchen,Camp Chef Instructions,,,,,,,,,,,,,,,,,
Camping 9,Camp Fire & set-up,Camping,Misc,Stakes,,,,,,,,,,,,,,,,,
Camping 9,Camp Fire & set-up,Camping,Kitchen,Stove leg bags,,,,,,,,,,,,,,,,,
Camping 9,Camp Fire & set-up,Camping,Kitchen,Propane T's,,,,,,,,,,,,,,,,,
Camping 9,Camp Fire & set-up,Camping,Letter Boxing,Stamps,,,,,,,,,,,,,,,,,
Goshen 1/2,,Goshen,Misc,Lantern,,,,,,,,,,,,,,,,,
Goshen 1/2,,Goshen,Kitchen,Stove - propane,,,,,,,,,,,,,,,,,
Goshen 1/2,,Goshen,Misc,First Aid Kit,,,,,,,,,,,,,,,,,
Goshen 1/2,,Goshen,Paper Goods,coffee cups,,,,,,,,,,,,,,,,,
Goshen 1/2,,Goshen,Kitchen,matches,,,,,,,,,,,,,,,,,
Goshen 1/2,,Goshen,Kitchen,Kettle,,,,,,,,,,,,,,,,,
Goshen 1/2,,Goshen,Paper Goods,Napkins,,,,,,,,,,,,,,,,,
Goshen 1/2,,Goshen,Fire,Dryer Lint,,,,,,,,,,,,,,,,,
Goshen 1/2,,Goshen,Fire,starter brinks,,,,,,,,,,,,,,,,,
Goshen 1/2,,Goshen,Misc,wet bag,,,,,,,,,,,,,,,,,
Goshen 1/2,,Goshen,Office Supplies,sharpie,,,,,,,,,,,,,,,,,
Goshen 1/2,,Goshen,Paper Goods,plastic utensil,,,,,,,,,,,,,,,,,
Goshen 1/2,,Goshen,Paper Goods,trash bag,,,,,,,,,,,,,,,,,
Goshen 1/2,,Goshen,Paper Goods,toilet paper,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Misc,Lantern,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Kitchen,cutting board,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Paper Goods,alluminum foil,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Paper Goods,plastic utensils,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Food,"coffee, tea",,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Kitchen,tongs,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Kitchen,pealers,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Dish Washing,brillo Scrubber,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Misc,sinch tie,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Misc,Rope,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Fire,matches,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Paper Goods,coffee cups,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Kitchen,knives,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Paper Goods,ziplocks,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Kitchen,small spatula,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Food,salt & pepper,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Misc,"scissors, lantern mantle",,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Paper Goods,plastic wrap,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Kitchen,pot holders,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Paper Goods,masking tape,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Office Supplies,pens,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Office Supplies,pencil,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Office Supplies,stamps,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Office Supplies,post cards,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Office Supplies,sharpie,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Office Supplies,highlighter,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Paper Goods,ziplocks & wipes,,,,,,,,,,,,,,,,,
Goshen 2/2,,Goshen,Misc,worship service book,,,,,,,,,,,,,,,,,
Loose,,AV,AV,Projector Screen,,,,,,,,,,,,,,,,,
Loose,,Pack Meetings,Misc,US Flag,,,,,,,,,,,,,,,,,
Loose,,Pack Meetings,Misc,Pack Flag,,,,,,,,,,,,,,,,,
Loose,,Camping,Dining,Igloos Drink Cooler,,,,,,,,,,,,,,,,,
Loose,,Camping,Kitchen,Flat Griddles,,,,,,,,,,,,,,,,,
Loose,,Camping,Kitchen,Pancake Gridle,,,,,,,,,,,,,,,,,
Loose,,Camping,Misc,Canopies,,,,,,,,,,,,,,,,,
Loose,,Camping,Dish Washing,Pink Wash Bins,,,,,,,,,,,,,,,,,
Loose,,Misc,Dish Washing,White Wash Bins,,,,,,,,,,,,,,,,,
Loose,,Camping,Misc,Tarp,,,,,,,,,,,,,,,,,
Loose,,Camping,Kitchen,Camp Stoves,,,,,,,,,,,,,,,,,
Loose,,??,Kitchen,Water,,,,,,,,,,,,,,,,,
NEED,,Camping,Paper Goods,Trash Bags,,,,,,,,,,,,,,,,,
NEED,,Camping,Hand Washing,Hand Soap,,,,,,,,,,,,,,,,,
NEED,,Camping,Dish Washing,Dish Soap,,,,,,,,,,,,,,,,,
NEED,,Camping,Dish Washing,Sponges,,,,,,,,,,,,,,,,,
NEED,,Camping,Kitchen,Lysol Wipes,,,,,,,,,,,,,,,,,
NEED,,Registration,Registration,Money Pouches,,,,,,,,,,,,,,,,,
Registration 1,,Registration,Office Supplies,Clip boards,,,,,,,,,,,,,,,,,
Registration 1,,Registration,Office Supplies,Receipt Books,,,,,,,,,,,,,,,,,
Registration 1,,Registration,Patches,Pack 160 Patches,,,,,,,,,,,,,,,,,
Registration 1,,Registration,Office Supplies,Registration Forms,,,,,,,,,,,,,,,,,
Registration 1,,Registration,Office Supplies,Pens/pencis,,,,,,,,,,,,,,,,,
Registration 2,,Registration,Misc,T Shirts,,,,,,,,,,,,,,,,,
FIND,,AV,AV,Projetor,,,,,,,,,,,,,,,,,
FIND,,AV,AV,Audio System,,,,,,,,,,,,,,,,,
FIND,,AV,AV,Extension Cords,,,,,,,,,,,,,,,,,
FIND,,Misc,Misc,Tables,,,,,,,,,,,,,,,,,
FIND,,Camping,Kitchen,Large Propane,,,,,,,,,,,,,,,,,
FIND,,Camping,Kitchen,Table Top Stoves?,,,,,,,,,,,,,,,,,
FIND,,Camping,Dish Washing,Dish Towels,,,,,,,,,,,,,,,,,
FIND,,Camping,Fire,Buckets,,,,,,,,,,,,,,,,,
FIND,,Camping,Misc,Fire Extinguisher,,,,,,,,,,,,,,,,,
FIND,,Camping,Fire,Saw,,,,,,,,,,,,,,,,,
FIND,,Camping,Misc,Tool Box,,,,,,,,,,,,,,,,,
FIND,,Camping,Fire,Fire Gloves,,,,,,,,,,,,,,,,,
FIND,,Camping,Fire,Starter Bricks,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
